BugName,Notes,TBar-time,TBar-10k,CURE-10k,SequenceR-50,Hercules-NFL,SimFix,fixminer,dlfix,acs,capgen-NFL,PAR,SOFix,PraPR,JAID,SketchFix,LSRepair,ssFix,NPEFix,Ratchet,Codit,AVATAR,CoCoNut,ARJA,GenProg,MutRepair,kPAR,RSRepair,Kali,Dynamoth,Nopol,Cardumen,VFix,iFixR,ConFix,Restore,HDRepair,,,file_no,class_no,method_no,line_no,add_line_no,del_line_no,mod_line_no,chunk_no,fail_test_no,action_no,pattern_no,First exception,add_char_no,del_char_no,node_match,insert_node,delete_node,update_node,move_tree,insert_tree,delete_tree
Clos 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,1,2,2,ComparisonFailure,35,0,4650,3,2,0,0,2,0
Clos 78,,,,,,3,,,,,,,,,,,,,,,,,,3,3,,,3,,,,,,,,,,,,1,1,1,2,0,2,0,2,1,1,1,AssertionFailedError,0,150,6308,2,2,0,0,0,2
Clos 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,0,1,2,5,3,2,RuntimeException,58,16,3784,3,2,1,0,1,0
Clos 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,0,0,2,2,1,1,AssertionFailedError,38,0,9892,4,4,0,0,2,0
Clos 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,7,0,0,1,1,4,1,AssertionFailedError,199,0,4736,6,6,0,0,2,0
Clos 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,0,1,1,2,2,2,AssertionFailedError,96,19,2825,4,4,0,0,1,0
Clos 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,3,0,1,1,1,2,1,AssertionFailedError,48,0,2050,12,5,0,3,1,0
Clos 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,27,27,0,0,3,1,7,3,AssertionFailedError,558,0,4465,6,6,0,0,4,0
Clos 85,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,21,7,13,1,4,2,9,4,AssertionFailedError,168,462,706,0,3,0,1,1,3
Clos 86,,3,,3,3,3,,,3,,,,,3,,,,,,,3,,3,3,3,,,3,3,,,,,,,3,,,,1,1,1,1,0,0,1,1,7,1,3,AssertionFailedError,6,5,8188,4,4,1,0,0,0
Clos 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,13,12,0,1,4,1,8,2,AssertionFailedError,354,37,3834,12,12,0,6,2,1
Clos 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,6,0,0,2,7,5,1,AssertionFailedError,205,0,1251,2,2,0,0,4,0
Clos 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,3,0,1,2,8,3,3,AssertionFailedError,135,38,6627,4,6,0,1,1,1
Clos 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,3,0,1,2,2,4,3,AssertionFailedError,144,17,6032,9,6,0,1,1,0
Clos 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,9,9,0,0,1,1,5,3,AssertionFailedError,251,0,579,0,0,0,0,2,0
